2025-09-30, 05:34:45, 163000000, 164000000, 1000000.00, 1, -10.23, -10.23
2025-09-30, 05:34:45, 164000000, 165000000, 1000000.00, 1, -1.48, -1.48
2025-09-30, 05:34:45, 165000000, 166000000, 1000000.00, 1, -9.37, -9.37
2025-09-30, 05:34:45, 166000000, 167000000, 1000000.00, 1, -11.08, -11.08
2025-09-30, 05:34:45, 167000000, 168000000, 1000000.00, 1, -10.06, -10.06
2025-09-30, 05:34:45, 168000000, 169000000, 1000000.00, 1, -10.99, -10.99
2025-09-30, 05:34:45, 169000000, 170000000, 1000000.00, 1, -10.88, -10.88
2025-09-30, 05:34:45, 170000000, 171000000, 1000000.00, 1, -10.00, -10.00
2025-09-30, 05:34:45, 171000000, 172000000, 1000000.00, 1, -10.73, -10.73
2025-09-30, 05:34:45, 172000000, 173000000, 1000000.00, 1, -8.86, -8.86
2025-09-30, 05:34:45, 173000000, 174000000, 1000000.00, 1, -5.93, -5.93
2025-09-30, 05:34:45, 174000000, 175000000, 1000000.00, 1, 20.90, 20.90
2025-09-30, 05:34:45, 175000000, 176000000, 1000000.00, 1, 20.78, 20.78
2025-09-30, 05:34:45, 176000000, 177000000, 1000000.00, 1, 20.73, 20.73
2025-09-30, 05:34:45, 177000000, 178000000, 1000000.00, 1, 20.37, 20.37
2025-09-30, 05:34:45, 178000000, 179000000, 1000000.00, 1, 20.54, 20.54
2025-09-30, 05:34:45, 179000000, 180000000, 1000000.00, 1, 20.86, 20.86
2025-09-30, 05:34:45, 180000000, 181000000, 1000000.00, 1, 1.90, 1.90
2025-09-30, 05:34:45, 181000000, 182000000, 1000000.00, 1, -0.99, -0.99
2025-09-30, 05:34:45, 182000000, 183000000, 1000000.00, 1, 2.72, 2.72
2025-09-30, 05:34:45, 183000000, 184000000, 1000000.00, 1, -0.50, -0.50
2025-09-30, 05:34:45, 184000000, 185000000, 1000000.00, 1, 0.22, 0.22
2025-09-30, 05:34:45, 185000000, 186000000, 1000000.00, 1, -0.61, -0.61
2025-09-30, 05:34:45, 186000000, 187000000, 1000000.00, 1, 5.38, 5.38
2025-09-30, 05:34:45, 187000000, 188000000, 1000000.00, 1, 10.20, 10.20
2025-09-30, 05:34:45, 188000000, 189000000, 1000000.00, 1, 10.05, 10.05
2025-09-30, 05:34:45, 189000000, 190000000, 1000000.00, 1, 10.13, 10.13
2025-09-30, 05:34:45, 190000000, 191000000, 1000000.00, 1, 11.42, 11.42
2025-09-30, 05:34:45, 191000000, 192000000, 1000000.00, 1, 5.90, 5.90
2025-09-30, 05:34:45, 192000000, 193000000, 1000000.00, 1, -0.30, -0.30
2025-09-30, 05:34:45, 193000000, 194000000, 1000000.00, 1, 4.92, 4.92
2025-09-30, 05:34:45, 194000000, 195000000, 1000000.00, 1, 4.12, 4.12
